UniProt.ID;Gene;Protein.Name;Panel;Tissue.Specificity;Tissue_Initials;Tissue_Initials2
17;P01579;IFNG;Interferon gamma;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Group enriched: bone marrow- lymphoid tissue;GEBMLT
18;P02778;CXCL10;C-X-C motif chemokine 10;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue;TELT
19;P05112;IL4;Interleukin-4;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Not detected;ND
20;P05113;IL5;Interleukin-5;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enhanced: brain- testis;TEBT
21;P09341;CXCL1;Growth-regulated alpha protein;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: cervix- lymphoid tissue;TECLT
22;P09603;CSF1;Macrophage colony-stimulating factor 1;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Low tissue specificity;LTS
23;P13232;IL7;Interleukin-7;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Low tissue specificity;LTS
24;P13236;CCL4;C-C motif chemokine 4;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: bone marrow;TEBM
25;P21583;KITLG;Kit ligand;Olink Explore Cardiometabolic- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Oncology II;Low tissue specificity;LTS
26;P35225;IL13;Interleukin-13;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enriched: testis;TET
27;P39900;MMP12;Macrophage metalloelastase;Olink Explore Oncology- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: intestine- lymphoid tissue- urinary bladder;TEILTUB
28;P40933;IL15;Interleukin-15;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Neuro Exploratory- Olink Target 48 Cytokine;Low tissue specificity;LTS
29;P48061;CXCL12;Stromal cell-derived factor 1;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response- Olink Target 48 Cytokine;Low tissue specificity;LTS
30;P49763;PGF;Placenta growth factor;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology- Olink Target 96 Organ Damage;Tissue enhanced: placenta- thyroid gland;TEPTG
31;P51671;CCL11;Eotaxin;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immune Response- Olink Target 48 Cytokine;Tissue enhanced: intestine- lymphoid tissue- stomach 1- urinary bladder;TEILTS1UB
32;P60568;IL2;Interleukin-2;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Not detected;ND
33;P80075;CCL8;C-C motif chemokine 8;Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Low tissue specificity;LTS
34;P80098;CCL7;C-C motif chemokine 7;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enriched: bone marrow;TEBM
35;Q07325;CXCL9;C-X-C motif chemokine 9;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enriched: lymphoid tissue;TELT
36;Q99616;CCL13;C-C motif chemokine 13;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enhanced: intestine- urinary bladder;TEIUB
37;Q99731;CCL19;C-C motif chemokine 19;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 48 Cytokine;Tissue enriched: lymphoid tissue;TELT
38;Q9NSA1;FGF21;Fibroblast growth factor 21;Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Cell Regulation;Tissue enriched: liver;TEL
39;O00182;LGALS9;Galectin-9;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: intestine- stomach 1;TEIS1
40;O00220;TNFRSF10A;Tumor necrosis factor receptor superfamily member 10A;Olink Explore Neurology- Olink Target 96 Cardiovascular II- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
41;O00300;TNFRSF11B;Tumor necrosis factor receptor superfamily member 11B;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular III;Group enriched: kidney- thyroid gland;GEKTG
42;O15123;ANGPT2;Angiopoietin-2;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Metabolism;Tissue enhanced: brain;TEB
43;O43557;TNFSF14;Tumor necrosis factor ligand superfamily member 14;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enriched: liver;TEL
44;O43915;VEGFD;Vascular endothelial growth factor D;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Cell Regulation;Tissue enhanced: lung;TEL
45;O43927;CXCL13;C-X-C motif chemokine 13;Olink Explore Neurology- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue;TELT
46;O75144;ICOSLG;ICOS ligand;Olink Explore Oncology- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow- brain;TEBMB
47;O75354;ENTPD6;Ectonucleoside triphosphate diphosphohydrolase 6;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation- Olink Target 96 Organ Damage;Low tissue specificity;LTS
48;O75509;TNFRSF21;Tumor necrosis factor receptor superfamily member 21;Olink Explore Neurology- Olink Target 96 Neurology- Olink Target 96 Immuno-Oncology;Tissue enhanced: brain- urinary bladder;TEBUB
49;O76036;NCR1;Natural cytotoxicity triggering receptor 1;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue;TELT
50;O95727;CRTAM;Cytotoxic and regulatory T-cell molecule;Olink Explore Neurology- Olink Target 96 Neurology- Olink Target 96 Immuno-Oncology;Tissue enriched: brain;TEB
51;P00749;PLAU;Urokinase-type plasminogen activator;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular III;Tissue enhanced: urinary bladder;TEUB
52;P00813;ADA;Adenosine deaminase;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Group enriched: intestine- lymphoid tissue;GEILT
53;P01127;PDGFB;Platelet-derived growth factor subunit B;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
54;P01137;TGFB1;Transforming growth factor beta-1 proprotein;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
55;P01138;NGF;Beta-nerve growth factor;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Neurology;Tissue enhanced: heart muscle- ovary;TEHMO
56;P01374;LTA;Lymphotoxin-alpha;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Group enriched: intestine- lymphoid tissue- testis;GEILTT
57;P01583;IL1A;Interleukin-1 alpha;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enhanced: esophagus- testis- urinary bladder;TEETUB
58;P01584;IL1B;Interleukin-1 beta;Olink Explore Inflammation- Olink Target 96 Oncology III- Olink Target 48 Cytokine;Tissue enhanced: bone marrow- urinary bladder;TEBMUB
59;P01730;CD4;T-cell surface glycoprotein CD4;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: liver- lymphoid tissue- parathyroid gland;TELLTPG
60;P01732;CD8A;T-cell surface glycoprotein CD8 alpha chain;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue;TELT
61;P03956;MMP1;Interstitial collagenase;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Tissue enhanced: gallbladder- stomach 1- urinary bladder;TEGS1UB
62;P05089;ARG1;Arginase-1;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Metabolism;Tissue enriched: liver;TEL
63;P05412;JUN;Transcription factor Jun;Olink Explore Inflammation- Olink Target 96 Immune Response- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
64;P06127;CD5;T-cell surface glycoprotein CD5;Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
65;P07585;DCN;Decorin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
66;P09038;FGF2;Fibroblast growth factor 2;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Low tissue specificity;LTS
67;P09237;MMP7;Matrilysin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: gallbladder- salivary gland- urinary bladder;TEGSGUB
68;P09382;LGALS1;Galectin-1;Olink Explore Cardiometabolic- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
69;P09601;HMOX1;Heme oxygenase 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue;TELT
70;P09919;CSF3;Granulocyte colony-stimulating factor;Olink Explore Inflammation- Olink Target 96 Neurology- Olink Target 48 Cytokine;Tissue enhanced: lung- urinary bladder;TELUB
71;P10144;GZMB;Granzyme B;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
72;P10747;CD28;T-cell-specific surface glycoprotein CD28;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Group enriched: lymphoid tissue- placenta;GELTP
73;P12544;GZMA;Granzyme A;Olink Explore Inflammation- Olink Target 96 Neurology- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
74;P13725;OSM;Oncostatin-M;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Tissue enriched: bone marrow;TEBM
75;P15514;AREG;Amphiregulin;Olink Explore Oncology- Olink Target 96 Oncology II- Olink Target 96 Immune Response;Tissue enhanced: bone marrow- placenta- urinary bladder;TEBMPUB
76;P18627;LAG3;Lymphocyte activation gene 3 protein;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue- ovary;TELTO
77;P20718;GZMH;Granzyme H;Olink Explore Cardiometabolic- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
78;P21246;PTN;Pleiotrophin;Olink Explore Cardiometabolic- Olink Target 96 Immuno-Oncology- Olink Target 96 Organ Damage;Tissue enhanced: brain- parathyroid gland;TEBPG
79;P25942;CD40;Tumor necrosis factor receptor superfamily member 5;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
80;P26842;CD27;CD27 antigen;Olink Explore Oncology- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue;TELT
81;P29459;IL12A;Interleukin-12 subunit alpha;Olink Explore Oncology- Olink Target 96 Neurology- Olink Target 96 Immuno-Oncology;Tissue enhanced: esophagus;TEE
82;P29474;NOS3;Nitric oxide synthase- endothelial;Olink Explore Neurology- Olink Target 96 Immuno-Oncology- Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue;TELT
83;P29965;CD40LG;CD40 ligand;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
84;P32970;CD70;CD70 antigen;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
85;P35968;KDR;Vascular endothelial growth factor receptor 2;Olink Explore Oncology- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
86;P39905;GDNF;Glial cell line-derived neurotrophic factor;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Neurology;Tissue enhanced: skeletal muscle;TESM
87;P42701;IL12RB1;Interleukin-12 receptor subunit beta-1;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue;TELT
88;P42830;CXCL5;C-X-C motif chemokine 5;Olink Explore Cardiometabolic- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Group enriched: lymphoid tissue- salivary gland;GELTSG
89;P43489;TNFRSF4;Tumor necrosis factor receptor superfamily member 4;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
90;P43629;KIR3DL1;Killer cell immunoglobulin-like receptor 3DL1;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue;TELT
91;P48023;FASLG;Tumor necrosis factor ligand superfamily member 6;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
92;P49771;FLT3LG;Fms-related tyrosine kinase 3 ligand;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Low tissue specificity;LTS
93;P55773;CCL23;C-C motif chemokine 23;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
94;P78380;OLR1;Oxidized low-density lipoprotein receptor 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II- Olink Target 48 Cytokine;Tissue enhanced: lung- placenta;TELP
95;P78423;CX3CL1;Fractalkine;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enhanced: breast;TEB
96;P78556;CCL20;C-C motif chemokine 20;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Group enriched: gallbladder- lymphoid tissue- urinary bladder;GEGLTUB
97;Q01151;CD83;CD83 antigen;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enhanced: bone marrow;TEBM
98;Q02763;TEK;Angiopoietin-1 receptor;Olink Explore Oncology- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: placenta;TEP
99;Q05516;ZBTB16;Zinc finger and BTB domain-containing protein 16;Olink Explore Oncology- Olink Target 96 Immune Response- Olink Target 96 Cell Regulation;Tissue enhanced: tongue;TET
100;Q07011;TNFRSF9;Tumor necrosis factor receptor superfamily member 9;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue;TELT
101;Q13241;KLRD1;Natural killer cells antigen CD94;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue;TELT
102;Q14213;EBI3;Interleukin-27 subunit beta;Olink Explore Oncology- Olink Target 96 Cardiovascular II- Olink Target 48 Cytokine;Tissue enriched: placenta;TEP
103;Q14790;CASP8;Caspase-8;Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow;TEBM
104;Q14956;GPNMB;Transmembrane glycoprotein NMB;Olink Explore Cardiometabolic- Olink Target 96 Oncology II- Olink Target 96 Neuro Exploratory;Tissue enhanced: skin 1;TES1
105;Q15116;PDCD1;Programmed cell death protein 1;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue;TELT
106;Q15389;ANGPT1;Angiopoietin-1;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: seminal vesicle;TESV
107;Q16552;IL17A;Interleukin-17A;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue;TELT
108;Q16790;CA9;Carbonic anhydrase 9;Olink Explore Oncology- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enriched: stomach 1;TES1
109;Q29980;MICB;MHC class I polypeptide-related sequence B;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
110;Q29983;MICA;MHC class I polypeptide-related sequence A;Olink Explore Inflammation- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
111;Q8NEV9;IL27;Interleukin-27 subunit alpha;Olink Explore Oncology- Olink Target 96 Cardiovascular II- Olink Target 48 Cytokine;Tissue enriched: liver;TEL
112;Q8WXI7;MUC16;Mucin-16;Olink Explore Oncology- Olink Target 96 Oncology II- Olink Target 96 Immuno-Oncology;Tissue enhanced: cervix- fallopian tube- salivary gland;TECFTSG
113;Q92583;CCL17;C-C motif chemokine 17;Olink Explore Inflammation- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue;TELT
114;Q969D9;TSLP;Thymic stromal lymphopoietin;Olink Explore Cardiometabolic- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Tissue enhanced: liver- urinary bladder;TELUB
115;Q96D42;HAVCR1;Hepatitis A virus cellular receptor 1;Olink Explore Oncology- Olink Target 96 Cardiovascular II- Olink Target 96 Organ Damage;Group enriched: intestine- kidney;GEIK
116;Q96PD2;DCBLD2;Discoidin- CUB and LCCL domain-containing protein 2;Olink Explore Oncology- Olink Target 96 Immune Response- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
117;Q96PD4;IL17F;Interleukin-17F;Olink Explore Inflammation- Olink Target 96 Oncology III- Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue;TELT
118;Q9BQ51;PDCD1LG2;Programmed cell death 1 ligand 2;Olink Explore Oncology- Olink Target 96 Cardiovascular II- Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue;TELT
119;Q9BWV1;BOC;Brother of CDO;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
120;Q9BZW8;CD244;Natural killer cell receptor 2B4;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
121;Q9GZV9;FGF23;Fibroblast growth factor 23;Olink Explore Oncology- Olink Target 96 Inflammation- Olink Target 96 Cardiovascular II;Group enriched: brain- choroid plexus;GEBCP
122;Q9NP84;TNFRSF12A;Tumor necrosis factor receptor superfamily member 12A;Olink Explore Oncology- Olink Target 96 Neurology- Olink Target 96 Immuno-Oncology;Low tissue specificity;LTS
123;Q9NZQ7;CD274;Programmed cell death 1 ligand 1;Olink Explore Neurology- Olink Target 96 Inflammation- Olink Target 96 Immuno-Oncology;Tissue enhanced: lung;TEL
124;Q9P0M4;IL17C;Interleukin-17C;Olink Explore Inflammation- Olink Target 96 Inflammation- Olink Target 48 Cytokine;Tissue enhanced: endometrium 1- urinary bladder;TEE1UB
125;Q9UQV4;LAMP3;Lysosome-associated membrane glycoprotein 3;Olink Explore Inflammation- Olink Target 96 Immuno-Oncology- Olink Target 96 Immune Response;Tissue enriched: lung;TEL
126;Q9Y653;ADGRG1;Adhesion G-protein coupled receptor G1;Olink Explore Oncology- Olink Target 96 Immuno-Oncology- Olink Target 96 Organ Damage;Tissue enhanced: thyroid gland;TETG
127;O43186;CRX;Cone-rod homeobox protein;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Tissue enriched: retina;TER
128;A4D1B5;GSAP;Gamma-secretase-activating protein;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
129;A6NI73;LILRA5;Leukocyte immunoglobulin-like receptor subfamily A member 5;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
130;O00161;SNAP23;Synaptosomal-associated protein 23;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
131;O00175;CCL24;C-C motif chemokine 24;Olink Explore Inflammation- Olink Target 96 Cardiovascular III;Group enriched: intestine- lymphoid tissue;GEILT
132;O00186;STXBP3;Syntaxin-binding protein 3;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
133;O00214;LGALS8;Galectin-8;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
134;O00221;NFKBIE;NF-kappa-B inhibitor epsilon;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue;TELT
135;O00233;PSMD9;26S proteasome non-ATPase regulatory subunit 9;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
136;O00241;SIRPB1;Signal-regulatory protein beta-1;Olink Explore Inflammation- Olink Target 96 Development;Tissue enhanced: bone marrow- lung- lymphoid tissue;TEBMLLT
137;O00253;AGRP;Agouti-related protein;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Group enriched: brain- epididymis;GEBE
138;O00273;DFFA;DNA fragmentation factor subunit alpha;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
139;O00308;WWP2;NEDD4-like E3 ubiquitin-protein ligase WWP2;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
140;O00339;MATN2;Matrilin-2;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
141;O00451;GFRA2;GDNF family receptor alpha-2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: testis- thyroid gland;TETTG
142;O00533;CHL1;Neural cell adhesion molecule L1-like protein;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: brain;TEB
143;O00548;DLL1;Delta-like protein 1;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: lymphoid tissue;TELT
144;O00585;CCL21;C-C motif chemokine 21;Olink Explore Inflammation- Olink Target 96 Development;Tissue enriched: lymphoid tissue;TELT
145;O00592;PODXL;Podocalyxin;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: kidney;TEK
146;O00622;CCN1;CCN family member 1;Olink Explore Oncology- Olink Target 96 Oncology II;Low tissue specificity;LTS
147;O00748;CES2;Cocaine esterase;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: intestine- liver;TEIL
148;O14558;HSPB6;Heat shock protein beta-6;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle- tongue;TESMT
149;O14594;NCAN;Neurocan core protein;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enriched: brain;TEB
150;O14662;STX16;Syntaxin-16;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
151;O14713;ITGB1BP1;Integrin beta-1-binding protein 1;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
